2784,2,24
268,2,157
885,5,94
1197,5,234
854,2,185
2134,5,19
4056,5,5
2760,2,85
753,2,1
1742,2,175
4469,5,1
1501,2,30
514,5,658
4042,5,6
1407,5,23
34,5,25
1687,5,6
2698,5,277
1068,5,36
3512,2,9
386,2,1236
1345,5,5
1883,2,42
535,5,987
1501,5,26
4172,5,1
1221,2,447
1042,5,7
494,2,413
467,2,441
586,2,164
3501,5,2
414,5,13
3584,2,2
4454,5,1
2382,2,201
3101,2,39
2544,5,73
2069,5,562
3319,2,39
1958,5,3
1251,2,150
3440,5,5
3171,5,4
1156,2,33
1541,2,396
706,2,215
1815,2,41
3302,2,1
2376,5,2
2591,2,1
4032,2,1
2319,2,1
697,2,1
1492,5,256
2662,2,79
2891,2,153
2588,2,196
2372,2,3
221,2,34477
3927,2,1
3564,5,378
273,2,7305
3889,2,2
1948,5,235
3807,5,2
336,5,549
3603,5,35
1582,5,472
680,2,500
501,5,301
1217,5,27
2307,2,163
728,2,446
2854,5,137
2676,2,2
1293,5,297
1341,5,6
227,5,284
21,3295,2
3072,5,2
3630,5,9
3597,2,143
744,5,217
1870,5,2
381,5,7
2554,5,2
4315,2,20
2886,5,1
3045,5,5
2900,2,1
1934,5,263
902,2,478
1602,2,75
244,2,451
3428,5,15
3445,2,20
3948,5,16
3946,5,13
1074,5,500
3227,2,50
2634,2,38
501,2,120
793,2,156
1286,5,490
4062,5,5
144,5,615
4438,5,4
844,5,103
2756,5,243
131,2,1318
1625,2,165
2188,2,178
559,2,49
2246,2,164
4030,5,9
2450,5,604
2136,2,24
386,5,70
1956,5,5
2774,5,25
2852,5,289
2509,5,271
3062,2,98
3918,2,107
2821,5,6
3338,5,1
3677,2,10
4044,5,5
4104,2,13
971,2,122
1985,5,1
1015,2,135
3646,2,7
319,5,1586
3699,2,100
4405,5,73
3343,2,33
193,2,172
2010,5,695
1710,5,24
886,2,454
1282,5,606
1188,2,187
2986,5,7
1524,2,65
4204,2,11
3697,2,4
2005,5,309
2411,2,1
201,5,253
1677,2,160
1111,2,163
378,2,188
3864,2,1
602,2,134
1798,5,562
2457,2,177
1386,5,297
3403,5,22
1773,2,181
1084,2,188
3177,5,5
805,5,22
543,2,159
3454,5,132
2021,5,14
3225,5,6
3488,2,16
288,2,4
929,2,449
795,5,8
1038,2,160
2068,2,80
1119,5,13
981,5,17
4040,2,10
4445,5,2
3647,2,39
1269,2,141
3644,2,25
1078,5,277
2477,2,211
2549,5,486
566,2,105
4124,2,363
2155,5,286
1086,2,150
3704,2,49
1661,2,30
2874,2,135
3289,5,4
1002,2,399
469,5,283
1646,5,13
1132,2,169
2473,5,278
801,2,12
4112,5,5
50,5,534
4463,2,1
1691,2,50
3223,5,3
2437,5,57
3951,5,13
1401,2,185
4099,2,3
3046,5,22
29,5,24306
1593,2,172
682,2,136
3191,5,3
2716,2,16
183,2,185
1431,5,1
