1436823500.962785,0.041910,172031001102,69050219051,48,48,1,1,123,123
1436823489.098700,0.000305,172031002044,172031002001,108,108,1,1,68,67
1436823485.193826,0.025082,172031001019,155101003114,48,48,1,1,123,123
1436823520.094774,0.000360,172031001126,172031001001,108,108,1,1,68,67
1436823532.275608,2.176125,172031001019,172031001102,414,238990,2858,2853,55700,3306
1436823532.275856,2.178451,172031002044,172031001019,168,78120,816,938,58694,8888
1436823530.096417,0.001908,172031001019,172031001102,246,346,16,12,55699,3306
1436823530.097043,0.005054,172031002044,172031001019,168,168,10,10,58693,8888
1436823522.580943,0.007143,172031001189,108061194085,48,48,1,1,123,123
1436823538.258361,0.005685,172031002249,172031001126,168,34,10,10,48450,8888
1436823538.259320,0.003554,172031001126,172031001189,246,286,16,12,43863,3306
1436823538.262906,0.003373,172031001126,172031001189,246,286,16,12,43864,3306
1436823538.264278,0.008193,172031002053,172031001126,168,34,10,10,41725,8888
1436823541.434893,0.000775,172031002149,172031000002,92,199,2,2,45070,53
1436823541.500045,0.001009,172031002044,172031000002,92,199,2,2,58899,53
1436823542.138226,0.000720,172031001019,172031000002,92,199,2,2,42215,53
1436823542.148964,0.000674,172031001057,172031000002,92,199,2,2,43659,53
1436823542.196828,0.000893,172031001102,172031000002,92,199,2,2,47040,53
1436823549.037014,0.051320,172031002053,72014183239,48,48,1,1,123,123
1436823569.327629,74.386016,172031002149,172031001102,11159928,1462160,132872,132884,44452,3306
1436823588.025733,0.026538,172031002053,192241206171,48,48,1,1,123,123
1436823588.075525,0.000343,172031001189,172031001001,108,108,1,1,68,67
1436823592.281110,0.001837,172031001019,172031001102,246,346,16,12,55704,3306
1436823592.281753,0.004987,172031002044,172031001019,168,168,10,10,58698,8888
1436823592.349581,0.067485,172031002044,172031001019,168,50232,518,604,58699,8888
1436823599.264007,0.005493,172031002249,172031001126,168,34,10,10,48451,8888
1436823599.264989,0.003548,172031001126,172031001189,246,286,16,12,43865,3306
1436823599.268673,0.003551,172031001126,172031001189,246,286,16,12,43866,3306
1436823599.270068,0.008081,172031002053,172031001126,168,34,10,10,41726,8888
1436823601.074580,0.000813,172031002053,172031000002,59,108,1,1,58715,53
1436823601.083474,0.008776,172031002053,172031000002,32,107,1,1,33202,53
1436823601.084886,0.001364,172031002053,172031000002,59,75,1,1,36777,53
1436823601.100947,0.000223,172031002053,172031000002,59,108,1,1,57217,53
1436823601.101458,0.000187,172031002053,172031000002,59,75,1,1,56418,53
1436823601.306892,0.001800,172031001126,172031000002,60,108,1,1,52446,53
1436823601.308434,0.000201,172031001126,172031000002,33,108,1,1,35566,53
1436823601.309913,0.001439,172031001126,172031000002,60,76,1,1,37531,53
1436823601.323448,0.001277,172031002053,172031000002,92,199,2,2,37833,53
1436823601.330894,0.000298,172031001126,172031000002,60,108,1,1,59329,53
1436823601.331144,0.000197,172031001126,172031000002,60,76,1,1,50452,53
1436823601.405143,0.002363,172031001057,172031000002,59,108,1,1,55923,53
1436823601.415067,0.009752,172031001057,172031000002,32,107,1,1,37620,53
1436823601.417133,0.002023,172031001057,172031000002,59,75,1,1,33363,53
1436823601.428304,0.000218,172031001057,172031000002,59,108,1,1,51750,53
1436823601.430566,0.002218,172031001057,172031000002,59,75,1,1,49742,53
1436823601.443530,0.002484,172031001019,172031000002,59,108,1,1,38636,53
1436823601.455137,0.011063,172031001019,172031000002,32,107,1,1,55746,53
1436823601.456674,0.001487,172031001019,172031000002,59,75,1,1,35033,53
1436823601.466089,0.000205,172031001019,172031000002,59,108,1,1,44194,53
1436823601.466383,0.000253,172031001019,172031000002,59,75,1,1,55276,53
1436823601.553484,0.001159,172031001126,172031000002,92,199,2,2,51635,53
1436823601.641031,0.001807,172031002149,172031000002,60,108,1,1,52707,53
1436823601.653624,0.001736,172031002044,172031000002,59,108,1,1,50559,53
